product_name,sds_filename,database_match,match_confidence,signal_word,hazard_statements,precautionary_statements,response_statements,components_determining_hazard,first_aid,storage,disposal,un_number,proper_shipping_name,hazard_class,packing_group,emergency_response_guide,extraction_confidence,processing_notes,processing_timestamp
Duo Patch,Cempatch-sds.pdf,Duo Patch,0.5555555555555556,DANGER,Causes skin irritation. Causes serious eye damage. May cause an allergic skin reaction. May cause cancer. May be harmful if swallowed. May cause respiratory irritation. Causes damage to organs through prolonged or repeated exposure.,"Wash hands thoroughly after handling. Contaminated work clothing must not be allowed out of the workplace. Obtain special instructions before use. Do not handle until all safety precautions have been read and understood. Wear protective gloves, protective clothing, eye protection, and face protection. Use only outdoors or in a well-ventilated area. Do not breathe dust. Do not eat, drink or smoke when using this product.",,WT% CAS No. Crystalline Silica (Quartz)/ Silica Sand 20-40% 14808-60-7 Calcium Aluminate 10-20% 65997-16-2 Slag 20-30% 65996-69-2 Portland Cement 15-25% 65997-15-1 Note: All WHMIS required information is included in appropriate,"Eye Contact: In case of contact, immediately flush eyes with plenty of water for at least 15 minutes. If easy to do, remove contact lenses, if worn. Get medical attention immediately. Skin Contact: In case of contact, immediately flush skin with plenty of water. Remove contaminated clothing and shoes. Wash clothing before reuse. Call a physician if irritation develops and persists. Inhalation: If breathing is difficult, remove victim to fresh air and keep at rest in a position comfortable for breathing. Give oxygen if breathing is difficult. Give artificial respiration if not breathing. Get medical advice/attention if you feel unwell. Ingestion: If swallowed, do NOT induce vomiting unless directed to do so by medical personnel. Never give anything by mouth to an unconscious person. Give 2 cupfuls of water if victim is conscience and alert. Get medical advice/attention. 4.2 Symptoms and Effects Both Acute and Delayed: Eye Contact: Causes serious eye damage. Symptoms may include discomfort or pain, excess blinking and tear production, with marked redness and swelling of the conjunctiva. May cause burns in the presence of moisture. Skin Contact: Causes skin irritation. May cause burns in the presence of moisture. Skin contact during hydration may slowly develop sufficient heat that may cause severe burns possibly resulting in permanent injury. Do not allow product to harden around any body part or allow continuous, prolonged contact with skin. Handling can cause dry skin. May cause sensitization by skin contact. Inhalation: May cause respiratory tract irritation. May cause burns in the presence of moisture. Ingestion: May be harmful if swallowed. May cause stomach distress, nausea or vomiting.",area. Do not store in an area equipped with emergency water sprinklers. Use corrosion-resistant structural materials and lighting and ventilation systems in the storage area. (See,"container. Provide adequate ventilation. 7.1 Precautions for Safe Handling: Keep out of the reach of children. Store in dust-tight, dry, labeled containers. Keep containers closed when not in use. Avoid any dust buildup by frequent cleaning and suitable construction of the storage area. Do not store in an area equipped with emergency water sprinklers. Use corrosion-resistant structural materials and lighting and ventilation systems in the storage area. (See",,Not regulated,Number and Description: Not applicable,Not applicable,,86,Low product match confidence,2025-09-25T06:16:52.772Z
Berry Clean,Cherry-Fragrance-sds.pdf,Berry Clean,0.4375,WARNING,,,,No. OSHA Exposure Limits ACGIH Exposure Limits Other Exposure Limits Benzaldehyde 100-52-7 POLAND: (NDSCh 40 mg/m3; NDS 10 mg/m3) POL MAC; 11/2002 Diethyl Phthalate 84-66-2 Aldehyde C-14 104-67-6 Ethyl Butyrate,,"Measures: Store in a cool, dry, and well ventilated area in original closed container out of sunlight and/or heat. Keep container closed when not in use. 8.1 Exposure Parameters: Chemical Name / CAS No. OSHA Exposure Limits ACGIH Exposure Limits Other Exposure Limits Benzaldehyde 100-52-7 POLAND: (NDSCh 40 mg/m3; NDS 10 mg/m3) POL MAC; 11/2002 Diethyl Phthalate 84-66-2 Aldehyde C-14 104-67-6 Ethyl Butyrate",CONSIDERATIONS,,"Combustible Liquids, N.O.S. (Mixture of perfumery products with flammable solvents)",Number and Description: Combustible,Not applicable,,57,Low product match confidence,2025-09-25T06:16:52.788Z
Clean Lift 20/20,CleanLift-2020-sds.pdf,Clean Lift 20/20,0.875,WARNING,H315 Causes skin irritation H340 May cause genetic defects H350 May cause cancer H335 May cause respiratory irritation H336 May cause drowsiness or dizziness H412 Harmful to aquatic life with long lasting effects,P280 Wear protective gloves/eye protection/face protection. P264 Wash thoroughly after handling P201 Obtain special instructions before use P202 Do not handle until all safety precautions have been read and understood P261 Avoid breathing dust/fume/gas/mist/vapours/spray. P271 Use only outdoors or in a well-ventilated area P273 Avoid release to the environment,P302+P352 IF ON SKIN: Wash with plenty of water. P321 Specific treatment (see supplemental,"WT% CAS No. EINECS No. Hazard Classification Aromatic Hydrocarbon < 5% 64742-95-6 265-199-0 Flam. Liq. 3; Skin Irrit. 2; Carc. 1B, Muta. 1B; STOT SE 3; ASP. Tox. 1, Aquatic Chronic 2 Balance of other ingredients are non-hazardous or less than 1% in concentration (or 0.1% for carcinogens, reproductive toxins, or respiratory sensitizers). Note: All WHMIS required information is included in appropriate","Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to do. Seek medical attention if irritation persists. Skin Contact: Wash skin thoroughly with soap and water after handling. Seek medical attention if irritation develops and persists. Inhalation: If breathing becomes difficult, remove victim to fresh air. If necessary, use artificial respiration to support vital functions. Seek medical attention. Ingestion: If product is swallowed, call physician or poison center immediately. If professional advice is not available, do not induce vomiting. Never induce vomiting or give dilutents (milk or water) to someone who is unconscious, having convulsions, or who cannot swallow. Seek medical advice. Take a copy of the label and/or SDS with the victim to the health professional. Medical Conditions Generally Aggravated",Statements: P403+P235 Store in a well-ventilated place. Keep cool. P233 Keep container tightly closed. P405 Store locked up.,". • Approach spill areas with caution. • If liquid was introduced, create a dike or trench to contain material. • Soak up with absorbent material such as clay, sand or other suitable non-reactive material. Large Spills: • Place in leak-proof containers. Seal tightly for proper disposal. • Dispose of in accordance with U.S. Federal, State, and local hazardous waste disposal regulations and those of Canada and its Provinces, those of Australia, Japan and EU Member States (see",,Not regulated,Number and Description: Not applicable,Not applicable,,86,,2025-09-25T06:16:52.815Z
Concrete Cure w/Dye,Concrete-Cure-w-Dye-sds.pdf,Concrete Cure w/Dye,0.9473684210526316,DANGER,H302 Harmful if swallowed H314 Causes severe skin burns and eye damage,"P260 Do not breathe dust or mists. P264 Wash skin thoroughly after handling. P270 Do not eat, drink or smoke when using this product. P280 Wear protective gloves/ protective clothing/ eye protection/ face protection.",,"WT% CAS No. EINECS No. Hazard Classification Sodium Silicate N < 50% 1344-09-8 215-687-4 Acute Tox. 4, Skin Corr. 2, Eye Dam. 1 Balance of other ingredients are non-hazardous or less than 1% in concentration (or 0.1% for carcinogens, reproductive toxins, or respiratory sensitizers). Note: All WHMIS required information is included in appropriate","Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to do. Seek medical attention if irritation persists. Skin Contact: Wash skin thoroughly with soap and water after handling. Seek medical attention if irritation develops and persists. Inhalation: If breathing becomes difficult, remove victim to fresh air. If necessary, use artificial respiration to support vital functions. Seek medical attention. Ingestion: If product is swallowed, call physician or poison center immediately. If professional advice is not available, do not induce vomiting. Never induce vomiting or give dilutents (milk or water) to someone who is unconscious, having convulsions, or who cannot swallow. Seek medical advice. Take a copy of the label and/or SDS with the victim to the health professional. Medical Conditions Generally Aggravated By Exposure: Pre-existing skin, respiratory system or eye problems may be aggravated by prolonged contact. 4.2 Symptoms and Effects Both Acute and Delayed: Exposure to skin and eyes may cause burns. 4.3 Recommendations to Physicians: Treat symptoms and eliminate overexposure. 5.1",Statements: P405 Store locked up.,"Statements: P501 Dispose of contents/container in accordance with local/regional/national/international regulations. 2.3 Health Hazards or Risks From Exposure: Symptoms of Overexposure by Route of Exposure: The most significant routes of overexposure for this product are by contact with skin or eyes. The symptoms of overexposure are described in the following paragraphs. Acute: Inhalation: Mist or spray may cause irritation, cough, shortness of breath, or sore throat Skin Contact: Corrosive material may cause redness, skin burns, or blisters. Eye Contact: Corrosive material may cause irritation with possible burns and tissue damage. Ingestion: May cause nausea, vomiting, diarrhea, and abdominal pain. Chronic: No data available. Target Organs: Acute: Skin, Eyes Chronic: N/A",,Not regulated,Number and Description: Not applicable,Not applicable,,86,,2025-09-25T06:16:52.840Z
Concrete Glue,Concrete-Glue-sds.pdf,Concrete Glue,1,NONE,,displayed on the label also apply to any residues left in the container. Special precautions for user Remarks: Not dangerous goods Domestic regulation International Regulation Transport in bulk according to Annex II of MARPOL 73/78 and the IBC Code Not applicable for product as supplied.,,Contains no hazardous ingredients according to GHS General advice: Show this material to the doctor in attendance.,,"Keep container closed when not in use. Keep in a dry, cool place. Materials to avoid: Do not freeze. No special restrictions on storage with other products. Storage temperature: >= 40 °F. Ingredients with workplace control parameters Contains no substances with occupational exposure limit values. Personal protective equipment Respiratory protection: No personal respiratory protective equipment normally required. In case of insufficient ventilation, wear suitable respiratory equipment. Hand protection Material: Nitrile rubber Remarks: For prolonged or repeated contact use protective gloves.","Waste from residues: To the best of our knowledge, this product does not meet the definition of hazardous waste under the U.S. EPA Hazardous Waste Regulations 40 CFR 261. Solidify and dispose of in an approved landfill. Consult state, local or provincial authorities for more restrictive requirements. The hazard and precautionary statements displayed on the label also apply to any residues left in the container. Special precautions for user Remarks: Not dangerous goods Domestic regulation International Regulation",,,,,,14,Low extraction confidence,2025-09-25T06:16:52.854Z
Crystal Rez,Crystal-Rez-sds.pdf,Crystal Rez,1,DANGER,H315 Causes skin irritation H340 May cause genetic defects H350 May cause cancer H304 May be fatal if swallowed and enters airways H372 Causes damage to organs through prolonged or repeated exposure (Central Nervous System),"P 280 Wear protective gloves/eye protection/face protection. P264 Wash thoroughly after handling. P201 Obtain special instructions before use. P202 Do not handle until all safety precautions have been read and understood. P260 Do not breathe dust/fume/gas/mist/vapours/spray. P270 Do not eat, drink or smoke when using this product.",P302+P352 IF ON SKIN: Wash with plenty of water. P321 Specific treatment (see supplemental,"WT% CAS No. EINECS No. Hazard Classification Mineral Spirits 5% 8052-41-3 232-489-3 Carc 1B, Muta. 1B, STOT RE 1 (nervous) ASP. Tox. 1 Fatty Acid(Oleic Acid) 0-2% 112-80-1 204-007-1 Skin Irrit 2 Balance of other ingredients are non-hazardous or less than 1% in concentration (or 0.1% for carcinogens, reproductive toxins, or respiratory sensitizers). Note: All WHMIS required information is included in appropriate","Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to do. Seek medical attention if irritation persists. Skin Contact: Wash skin thoroughly with soap and water after handling. Seek medical attention if irritation develops and persists. Inhalation: If breathing becomes difficult, remove victim to fresh air. If necessary, use artificial respiration to support vital functions. Seek medical attention. Ingestion: If product is swallowed, call physician or poison center immediately. If professional advice is not available, do not induce vomiting. Never induce vomiting or give dilutents (milk or water) to someone who is unconscious, having convulsions, or who cannot swallow. Seek medical advice. Take a copy of the label and/or SDS with the victim to the health professional. Medical Conditions Generally Aggravated By Exposure: Pre-existing skin, respiratory system or eye problems may be aggravated by prolonged contact.","and use. 10.3 Possibility of Hazardous Reactions: Will not occur. 10.4 Conditions to Avoid: Avoid excessive temperatures, exposure to sunlight, sources of ignition.",". • Approach spill areas with caution. • If liquid was introduced, create a dike or trench to contain material. • Soak up with absorbent material such as clay, sand or other suitable non-reactive material. Large Spills: • Place in leak-proof containers. Seal tightly for proper disposal. • Dispose of in accordance with U.S. Federal, State, and local hazardous waste disposal regulations and those of Canada and its Provinces, those of Australia, Japan and EU Member States (see",,Not regulated,Number and Description: Not applicable,Not applicable,,86,,2025-09-25T06:16:52.879Z
Crystal Shine HS,Crystal-Shine-HS-sds.pdf,Crystal Shine HS,1,DANGER,H225 Highly flammable liquid and vapour H315 Causes skin irritation H340 May cause genetic defects H350 May cause cancer H335 May cause respiratory irritation H336 May cause drowsiness or dizziness H304 May be fatal if swallowed and enters airways H411 Toxic to aquatic life with long lasting effects,,,"WT% CAS No. EINECS No. Hazard Classification Aromatic Hydrocarbon < 10% 64742-95-6 265-199-0 Flam. Liq. 3; Skin Irrit. 2; Carc. 1B, Muta. 1B; STOT SE 3; ASP. Tox. 1, Aquatic Chronic 2","Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to do. Seek medical attention if irritation persists. Skin Contact: Wash skin thoroughly with soap and water after handling. Seek medical attention if irritation develops and persists. Inhalation: If breathing becomes difficult, remove victim to fresh air. If necessary, use artificial respiration to support vital functions. Seek medical attention. Ingestion: If product is swallowed, call physician or poison center immediately. If professional advice is not available, do not induce vomiting. Never induce vomiting or give dilutents (milk or water) to someone who is unconscious, having convulsions, or who cannot swallow. Seek medical advice. Take a copy of the label and/or SDS with the victim to the health professional. Medical Conditions Generally Aggravated By Exposure: Pre-existing skin, respiratory system or eye problems may be aggravated by prolonged contact. 4.2 Symptoms and Effects Both Acute and Delayed: Exposure to skin, eyes, and respiratory system may cause irritation. May cause headaches, drowsiness, or dizziness. Aspiration hazard. 4.3 Recommendations to Physicians: Treat symptoms and eliminate overexposure. 5.1",Statements: P403+P235 Store in a well-ventilated place. Keep cool. P233 Keep container tightly closed. P405 Store locked up.,".  Approach spill areas with caution.  If liquid was introduced, create a dike or trench to contain material.  Soak up with absorbent material such as clay, sand or other suitable non-reactive material. Large Spills:  Place in leak-proof containers. Seal tightly for proper disposal.  Dispose of in accordance with U.S. Federal, State, and local hazardous waste disposal regulations and those of Canada and its Provinces, those of Australia, Japan and EU Member States (see",,Coating Solution,Number and Description: Class 3 – Flammable Liquids,Packing Group: II,,71,,2025-09-25T06:16:52.915Z
Crystal Shine Matte,Crystal-Shine-Matte-EX-sds.pdf,Crystal Shine Matte,0.95,DANGER,H225 Highly flammable liquid and vapour H315 Causes skin irritation H340 May cause genetic defects H350 May cause cancer H335 May cause respiratory irritation H336 May cause drowsiness or dizziness H304 May be fatal if swallowed and enters airways H411 Toxic to aquatic life with long lasting effects,,,"WT% CAS No. EINECS No. Hazard Classification Aromatic Hydrocarbon < 10% 64742-95-6 265-199-0 Flam. Liq. 3; Skin Irrit. 2; Carc. 1B, Muta. 1B; STOT SE 3; ASP. Tox. 1, Aquatic Chronic 2","Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to do. Seek medical attention if irritation persists. Skin Contact: Wash skin thoroughly with soap and water after handling. Seek medical attention if irritation develops and persists. Inhalation: If breathing becomes difficult, remove victim to fresh air. If necessary, use artificial respiration to support vital functions. Seek medical attention. Ingestion: If product is swallowed, call physician or poison center immediately. If professional advice is not available, do not induce vomiting. Never induce vomiting or give dilutents (milk or water) to someone who is unconscious, having convulsions, or who cannot swallow. Seek medical advice. Take a copy of the label and/or SDS with the victim to the health professional. Medical Conditions Generally Aggravated By Exposure: Pre-existing skin, respiratory system or eye problems may be aggravated by prolonged contact. 4.2 Symptoms and Effects Both Acute and Delayed: Exposure to skin, eyes, and respiratory system may cause irritation. May cause headaches, drowsiness, or dizziness. Aspiration hazard. 4.3 Recommendations to Physicians: Treat symptoms and eliminate overexposure. 5.1",Statements: P403+P235 Store in a well-ventilated place. Keep cool. P233 Keep container tightly closed. P405 Store locked up.,". • Approach spill areas with caution. • If liquid was introduced, create a dike or trench to contain material. • Soak up with absorbent material such as clay, sand or other suitable non-reactive material. Large Spills: • Place in leak-proof containers. Seal tightly for proper disposal. • Dispose of in accordance with U.S. Federal, State, and local hazardous waste disposal regulations and those of Canada and its Provinces, those of Australia, Japan and EU Member States (see",,Coating Solution,Number and Description: Class 3 – Flammable Liquids,Packing Group: II,,71,,2025-09-25T06:16:52.942Z
Crystal Shine Matte,Crystal-Shine-Matte-sds.pdf,Crystal Shine Matte,1,DANGER,H225 Highly flammable liquid and vapour H315 Causes skin irritation H340 May cause genetic defects H350 May cause cancer H335 May cause respiratory irritation H336 May cause drowsiness or dizziness H304 May be fatal if swallowed and enters airways H411 Toxic to aquatic life with long lasting effects,,,"WT% CAS No. EINECS No. Hazard Classification Aromatic Hydrocarbon < 10% 64742-95-6 265-199-0 Flam. Liq. 3; Skin Irrit. 2; Carc. 1B, Muta. 1B; STOT SE 3; ASP. Tox. 1, Aquatic Chronic 2","Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to do. Seek medical attention if irritation persists. Skin Contact: Wash skin thoroughly with soap and water after handling. Seek medical attention if irritation develops and persists. Inhalation: If breathing becomes difficult, remove victim to fresh air. If necessary, use artificial respiration to support vital functions. Seek medical attention. Ingestion: If product is swallowed, call physician or poison center immediately. If professional advice is not available, do not induce vomiting. Never induce vomiting or give dilutents (milk or water) to someone who is unconscious, having convulsions, or who cannot swallow. Seek medical advice. Take a copy of the label and/or SDS with the victim to the health professional. Medical Conditions Generally Aggravated By Exposure: Pre-existing skin, respiratory system or eye problems may be aggravated by prolonged contact. 4.2 Symptoms and Effects Both Acute and Delayed: Exposure to skin, eyes, and respiratory system may cause irritation. May cause headaches, drowsiness, or dizziness. Aspiration hazard. 4.3 Recommendations to Physicians: Treat symptoms and eliminate overexposure. 5.1",Statements: P403+P235 Store in a well-ventilated place. Keep cool. P233 Keep container tightly closed. P405 Store locked up.,". • Approach spill areas with caution. • If liquid was introduced, create a dike or trench to contain material. • Soak up with absorbent material such as clay, sand or other suitable non-reactive material. Large Spills: • Place in leak-proof containers. Seal tightly for proper disposal. • Dispose of in accordance with U.S. Federal, State, and local hazardous waste disposal regulations and those of Canada and its Provinces, those of Australia, Japan and EU Member States (see",,Coating Solution,Number and Description: Class 3 – Flammable Liquids,Packing Group: II,,71,,2025-09-25T06:16:52.967Z
Crystal Shine SC,Crystal-Shine-SC-SDS-R061024-sds.pdf,Crystal Shine SC,0.9,DANGER,H225 Highly flammable liquid and vapour H315 Causes skin irritation H340 May cause genetic defects H350 May cause cancer H335 May cause respiratory irritation H336 May cause drowsiness or dizziness H304 May be fatal if swallowed and enters airways H411 Toxic to aquatic life with long lasting effects,,,"WT% CAS No. EINECS No. Hazard Classification Aromatic Hydrocarbon < 10% 64742-95-6 265-199-0 Flam. Liq. 3; Skin Irrit. 2; Carc. 1B, Muta. 1B; STOT SE 3; ASP. Tox. 1, Aquatic Chronic 2","Eye Contact: If product enters the eyes, flush with plenty of water or eye wash solution for several minutes. Remove contacts if present and easy to do. Seek medical attention if irritation persists. Skin Contact: Wash skin thoroughly with soap and water after handling. Seek medical attention if irritation develops and persists. Inhalation: If breathing becomes difficult, remove victim to fresh air. If necessary, use artificial respiration to support vital functions. Seek medical attention. Ingestion: If product is swallowed, call physician or poison center immediately. If professional advice is not available, do not induce vomiting. Never induce vomiting or give dilutents (milk or water) to someone who is unconscious, having convulsions, or who cannot swallow. Seek medical advice. Take a copy of the label and/or SDS with the victim to the health professional. Medical Conditions Generally Aggravated By Exposure: Pre-existing skin, respiratory system or eye problems may be aggravated by prolonged contact. 4.2 Symptoms and Effects Both Acute and Delayed: Exposure to skin, eyes, and respiratory system may cause irritation. May cause headaches, drowsiness, or dizziness. Aspiration hazard. 4.3 Recommendations to Physicians: Treat symptoms and eliminate overexposure. 5.1",Statements: P403+P235 Store in a well-ventilated place. Keep cool. P233 Keep container tightly closed. P405 Store locked up.,".  Approach spill areas with caution.  If liquid was introduced, create a dike or trench to contain material.  Soak up with absorbent material such as clay, sand or other suitable non-reactive material. Large Spills:  Place in leak-proof containers. Seal tightly for proper disposal.  Dispose of in accordance with U.S. Federal, State, and local hazardous waste disposal regulations and those of Canada and its Provinces, those of Australia, Japan and EU Member States (see",,Coating Solution,Number and Description: Class 3 – Flammable Liquids,Packing Group: II,,71,,2025-09-25T06:16:53.004Z
